ambassador,can,will,egypt,journalist,greste,has,john,berry,decision,stand,not,cairo,should,australia,this,down,handed,sentence,impose,
greste,the,being,where,bishop,his,will,egypt,journalist,held,egyptian,video,prison,making,decisions,most,important,centre,needs,thing,
the,greste,australian,been,brotherhood,would,have,egyptian,muslim,not,journalist,that,reporters,abbott,government,verdict,supporting,point,did,simply,
n-t,any,good,that,greste,megaphone,diplomacy,engage,will,colleagues,home,unhelpful,what,want,abbott,his,can,two,saying,possible,
years,seven,fahmy,mohamed,baher,australian,were,two,cairo,jazeera,prison,three,has,egyptian-canadian,muslim,brotherhood,the,fadel,other,mohammad,
