egypt,will,tora,should,australia,greste,prison,down,impose,aap,making,centre,thing,radio,important,she,seconds,sanctions,condoning,short,
the,greste,australian,not,abbott,would,been,journalist,egyptian,that,have,will,government,make,can,peter,brotherhood,foreign,minister,continue,
the,also,footage,their,case,appeal,cairo,terror,marriott,here,captors,makeshift,offices,petition,support,family,vowed,gutted,andrew,old,
his,n-t,any,good,not,diplomacy,that,greste,megaphone,unhelpful,engage,want,two,colleagues,decisions,needs,putting,abc,saying,bring,
the,peter,mohamed,years,seven,fahmy,baher,greste,were,brotherhood,cairo,three,they,news,muslim,two,charges,egyptian,jazeera,mohammed,
