journalist,president,initiative,jazeera,online,ahram,el-sisi,give,that,other,harsh,dissatisfaction,alex,any,director,tom,release,never,u.s,obama,
n-t,that,good,any,his,two,megaphone,unhelpful,diplomacy,engage,want,found,colleagues,not,peter,greste,saying,did,abbott,what,
the,news,all,world,jazeera,organizations,journalists,media,freedom,their,government,people,than,denounces,morsi,pardon,outraged,western,governments,calls,
the,brotherhood,has,that,jazeera,qatar,muslim,journalists,openly,was,which,canadian,were,also,they,more,working,supported,family,countries,
the,fahmy,years,mohamed,seven,was,egyptian,cairo,egypt,monday,prison,two,baher,australian,three,journalists,english,al-jazeera,bureau,brotherhood,
