pop,best,next,submitted,n-t,video,awful,shower,cubicles,pit,conditions,should,open,toilets,same,room,why,care,prisoners,sleep,
the,greste,brotherhood,that,journalist,muslim,peter,would,been,have,egyptian,australian,not,simply,reporters,make,was,can,did,supporting,
the,minister,government,prime,verdict,el-sissi,foreign,tony,innocent,told,monday,abdel-fattah,that,cairo,case,his,egypt,intervene,president,abbott,
free,working,message,new,what,reflect,supporters,raid,been,canadian-egyptian,jail,his,cell,not,insisting,let,john,ambassador,stand,everything,
years,peter,seven,fahmy,were,mohamed,two,baher,three,they,has,the,prison,one,which,mohammed,hotel,december,reporter,al-jazeera,
