hawks,choke,teams,the,writers,reason,matters,they,good,lie,falcons,home,conference,truth,yet,homefield,like,did,record,kick,
millsap,was,james,world,finals,current,day,line,from,great,points,scott,balanced,horford,teague,attack,good,top,percent,one,
that,when,playoffs,was,have,steady,smith,too,with,drought,became,important,our,jeff,major,while,behind,went,going,retained,
underway,production,antic,needs,beat,most,starter,severity,starters,that,taken,are,certainly,ruled,loose,collected,days,dellavedova,
the,korver,playoffs,would,injured,being,season,ankle,lebron,all,best,player,away,hawks,got,shooting,percent,play,injury,also,
