conference,lebron,clock,before,since,took,night,second,game,cleveland,shooting,handle,would,world,arguably,with,current,apparent,that,
the,finals,eastern,cavaliers,james,hawks,conference,they,his,was,chased,mvp,this,point,triple,over,them,there,their,trip,
bud,has,zero,who,loans,horford,cleveland,hawks,conference,help,together,had,danny,ferry,coach,that,pulled,atlanta,
whomever,hit,well,earn,losing,ohio,playoffs,may,arena,game,tony,brothers,cleveland,hawks,history,first,time,left,arm,nba,
town,get,steady,korver,hot,player,play,combined,drought,season,much,coach,that,nba,
