council,sacred,love,patriots,aloha,undoubtedly,telescope,more,weight,over,kea,their,management,future,advisory,lāhui,this,all,not,call,
wākea,truth,firm,standing,mountain,aloha,ʻāina,ascend,employees,plethora,will,when,our,shared,believe,tmt,issue,opposition,yet,this,
that,they,desecration,right,expressed,dominating,then,already,hawaiʻi,further,any,him,for,support,would,eis,flaws,there,therefore,contradictory,
last,ʻāina,their,
the,wākea,tmt,advisory,construction,has,that,mauna,david,statement,are,very,building,forever,protest,kapu,land,aloha,will,proceed,
