agree,see,wants,ten,university,proceed,igeʻs,expressed,any,lands,hawai’iʻs,mismanagement,trend,cycle,takes,not,todayʻs,that,ige,construction,
wākea,are,there,mauna,further,any,development,him,current,for,support,would,cia,flaws,therefore,contradictory,eis,past,days,stand,
action,big,she,date,short,our,actions,fallen,better,must,can,apologize,more,direct,control,back,legislator,believe,commitment,bringing,
the,has,construction,tmt,that,sacred,will,statement,address,very,community,his,given,also,when,resume,nonprofit,determine,company,forward,
the,mauna,telescope,ige,kea,david,tuesday,hawaii,mountain,giant,build,project,press,many,ways,move,right,honolulu,gov,governor,
