kea,mauna,the,university,president,reporters,hawaii,have,strong,improved,care,deeply,today,vision,out,laid,responds,state,island,describing,
the,statement,information,future,stewardship,conference,saying,governor,take,steps,efforts,must,can,media,reading,president,
will,our,apologize,david,press,commitment,mayor,governor,plans,more,this,week,have,prepared,fallen,university,agree,lassner,
the,action,more,appreciates,which,date,actions,big,direct,control,back,believe,mountain,bringing,taking,ige,that,plan,former,share,
that,short,better,his,may,and,honolulu,gov,hawaiʻi,legislator,commitment,ige,plan,applauded,response,can,the,university,david,statement,
