2.txt,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,71,72,73,74,75,76,77,78,79,42.6,43.2,43.8,44.4,45,45.6,46.2,46.8,47.4
6.txt,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,35.5,36,36.5,37,37.5,38,38.5,39,39.5,28.4,28.8,29.2,29.6,30,30.4,30.8,31.2,31.6
8.txt,2.5,3,3.5,4,4.5,5,5.5,6,6.5,30,36,42,48,54,60,66,72,78,20,24,28,32,36,40,44,48,52
9.txt,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,73.6,75.2,76.8,78.4,80,81.6,83.2,84.8,86.4,64.4,65.8,67.2,68.6,70,71.4,72.8,74.2,75.6
12.txt,3.5,4,4.5,5,5.5,6,6.5,7,7.5,42,48,54,60,66,72,78,84,90,28,32,36,40,44,48,52,56,60
13.txt,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,57.2,59.4,61.6,63.8,66,68.2,70.4,72.6,74.8,67.6,70.2,72.8,75.4,78,80.6,83.2,85.8,88.4
17.txt,21,21,21,21,21,21,21,21,21,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
18.txt,26.2,26.4,26.6,26.8,27,27.2,27.4,27.6,27.8,340.6,343.2,345.8,348.4,351,353.6,356.2,358.8,361.4,445.4,448.8,452.2,455.6,459,462.4,465.8,469.2,472.6
19.txt,8.3,8.6,8.9,9.2,9.5,9.8,10.1,10.4,10.7,91.3,94.6,97.9,101.2,104.5,107.8,111.1,114.4,117.7,66.4,68.8,71.2,73.6,76,78.4,80.8,83.2,85.6
21.txt,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,211.2,213.4,215.6,217.8,220,222.2,224.4,226.6,228.8,211.2,213.4,215.6,217.8,220,222.2,224.4,226.6,228.8
22.txt,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,163.8,165.6,167.4,169.2,171,172.8,174.6,176.4,178.2,182,184,186,188,190,192,194,196,198
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.txt,340.6,343.2,345.8,348.4,351,353.6,356.2,358.8,361.4,,,,,,,,,,,,,,,,,,
8.txt,30,36,42,48,54,60,66,72,78,,,,,,,,,,,,,,,,,,
9.txt,73.6,75.2,76.8,78.4,80,81.6,83.2,84.8,86.4,,,,,,,,,,,,,,,,,,
2.txt,71,72,73,74,75,76,77,78,79,,,,,,,,,,,,,,,,,,
17.txt,126,126,126,126,126,126,126,126,126,,,,,,,,,,,,,,,,,,
13.txt,57.2,59.4,61.6,63.8,66,68.2,70.4,72.6,74.8,,,,,,,,,,,,,,,,,,
6.txt,35.5,36,36.5,37,37.5,38,38.5,39,39.5,,,,,,,,,,,,,,,,,,
12.txt,42,48,54,60,66,72,78,84,90,,,,,,,,,,,,,,,,,,
21.txt,211.2,213.4,215.6,217.8,220,222.2,224.4,226.6,228.8,,,,,,,,,,,,,,,,,,
22.txt,163.8,165.6,167.4,169.2,171,172.8,174.6,176.4,178.2,,,,,,,,,,,,,,,,,,
19.txt,91.3,94.6,97.9,101.2,104.5,107.8,111.1,114.4,117.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.txt,445.4,448.8,452.2,455.6,459,462.4,465.8,469.2,472.6,,,,,,,,,,,,,,,,,,
8.txt,20,24,28,32,36,40,44,48,52,,,,,,,,,,,,,,,,,,
9.txt,64.4,65.8,67.2,68.6,70,71.4,72.8,74.2,75.6,,,,,,,,,,,,,,,,,,
2.txt,42.6,43.2,43.8,44.4,45,45.6,46.2,46.8,47.4,,,,,,,,,,,,,,,,,,
17.txt,126,126,126,126,126,126,126,126,126,,,,,,,,,,,,,,,,,,
13.txt,67.6,70.2,72.8,75.4,78,80.6,83.2,85.8,88.4,,,,,,,,,,,,,,,,,,
6.txt,28.4,28.8,29.2,29.6,30,30.4,30.8,31.2,31.6,,,,,,,,,,,,,,,,,,
12.txt,28,32,36,40,44,48,52,56,60,,,,,,,,,,,,,,,,,,
21.txt,211.2,213.4,215.6,217.8,220,222.2,224.4,226.6,228.8,,,,,,,,,,,,,,,,,,
22.txt,182,184,186,188,190,192,194,196,198,,,,,,,,,,,,,,,,,,
19.txt,66.4,68.8,71.2,73.6,76,78.4,80.8,83.2,85.6,,,,,,,,,,,,,,,,,,
