3.txt,7.338051797,3.txt,6.457549088,3.txt,5.183385552,3.txt,4.340940183,3.txt,2.244179834,3.txt,1.310566641,3.txt,1.418005109,3.txt,3.045887693,3.txt,0.766100453
5.txt,0.211661945,5.txt,1.222944852,5.txt,1.361272416,5.txt,0.931995083,5.txt,0.021875472,5.txt,0.214538037,5.txt,0.936113075,5.txt,1.612877224,5.txt,-0.337060299
6.txt,3.135335149,6.txt,1.813484319,6.txt,0.870202679,6.txt,0.255984966,6.txt,-0.082094976,6.txt,-0.679939783,6.txt,-0.041770176,6.txt,-0.567884977,6.txt,-3.249647484
7.txt,4.69350555,7.txt,2.745139822,7.txt,1.727155773,7.txt,0.309079412,7.txt,-1.205853227,7.txt,-1.649454975,7.txt,-1.259454075,7.txt,-0.045627103,7.txt,-0.579370264
9.txt,-11.60406426,9.txt,-10.68841136,9.txt,-9.810341843,9.txt,-8.987513886,9.txt,-8.332341076,9.txt,-8.502240113,9.txt,-6.981455765,9.txt,-4.953031009,9.txt,-3.963413951
10.txt,2.611333543,10.txt,1.520034375,10.txt,-0.063208131,10.txt,-2.612686048,10.txt,-2.458559843,10.txt,-2.41084437,10.txt,-2.666717022,10.txt,-2.773824937,10.txt,-2.957511061
11.txt,-6.33080533,11.txt,-5.667912237,11.txt,-5.678827999,11.txt,-5.101135565,11.txt,-4.246488118,11.txt,-3.617879459,11.txt,-1.392626396,11.txt,-0.366177373,11.txt,-4.426037473
12.txt,-1.039589487,12.txt,-2.057063134,12.txt,-3.524082788,12.txt,-4.176444529,12.txt,-5.463211679,12.txt,-5.443297953,12.txt,-5.399744872,12.txt,-4.45672126,12.txt,-4.145735508
15.txt,8.035352089,15.txt,7.168339293,15.txt,5.806127777,15.txt,4.965735528,15.txt,5.22912187,15.txt,4.676225193,15.txt,5.715346297,15.txt,8.03445065,15.txt,3.41295447
16.txt,-3.560395834,16.txt,-2.443175274,16.txt,-2.705810686,16.txt,-3.256823709,16.txt,-4.35667199,16.txt,-4.668913584,16.txt,-3.351805186,16.txt,-2.234707671,16.txt,-3.200274399
19.txt,12.98420173,19.txt,12.68038779,19.txt,11.35301407,19.txt,8.622193804,19.txt,7.112504492,19.txt,4.2490025,19.txt,4.154476812,19.txt,4.132304971,19.txt,0.996506585
20.txt,1.524732673,20.txt,0.032977609,20.txt,0.357946022,20.txt,-1.682720444,20.txt,-3.169090179,20.txt,-4.960695316,20.txt,-3.621570788,20.txt,-2.137951925,20.txt,-1.536931222
21.txt,3.05673371,21.txt,2.355249809,21.txt,0.118693506,21.txt,-0.299947499,21.txt,-0.899550376,21.txt,-1.731157308,21.txt,-3.31740236,21.txt,-1.430369505,21.txt,-2.72639934
23.txt,11.40442178,23.txt,7.473751454,23.txt,7.353082808,23.txt,6.376012673,23.txt,3.82591358,23.txt,3.020060079,23.txt,2.367102407,23.txt,2.280781267,23.txt,1.086862162
24.txt,9.612099474,24.txt,5.530090562,24.txt,3.70137958,24.txt,3.292594866,24.txt,3.17818618,24.txt,1.843888373,24.txt,4.01136143,24.txt,2.915287398,24.txt,2.434476517
26.txt,16.95456837,26.txt,14.50310426,26.txt,11.01218998,26.txt,7.630444578,26.txt,6.206454301,26.txt,3.4797908,26.txt,3.324662662,26.txt,3.72319191,26.txt,1.82813523
31.txt,4.115740665,31.txt,3.29284558,31.txt,1.592077433,31.txt,-0.299609364,31.txt,-2.27612866,31.txt,-2.546273111,31.txt,-2.416510612,31.txt,-3.566158111,31.txt,-3.277818361
32.txt,19.343091,32.txt,13.28041399,32.txt,10.28665386,32.txt,6.871344919,32.txt,4.306511989,32.txt,2.38751189,32.txt,3.02648953,32.txt,2.189000217,32.txt,0.373974441
