1.txt,-0.033905272,1.txt,-0.033905272,1.txt,-0.135186394,1.txt,-1.523432408,1.txt,-1.510529003,1.txt,-1.510529003,1.txt,-1.510529003,1.txt,-1.22284693,1.txt,-1.176326915,1.txt,-1.440292461
2.txt,-5.895638881,2.txt,-5.895638881,2.txt,-3.930136985,2.txt,-3.106969592,2.txt,-3.035225687,2.txt,-3.322907759,2.txt,-3.739422704,2.txt,-3.362128472,2.txt,-3.149035257,2.txt,-2.679031628
3.txt,-5.883622067,3.txt,-5.883622067,3.txt,-4.738864719,3.txt,-3.576546744,3.txt,-3.739065674,3.txt,-3.867898546,3.txt,-4.050220102,3.txt,-4.080073066,3.txt,-3.913018981,3.txt,-4.207290863
4.txt,0.532224364,4.txt,0.532224364,4.txt,2.665023069,4.txt,3.899976735,4.txt,3.555136248,4.txt,3.283202533,4.txt,2.781650546,4.txt,2.873154359,4.txt,2.850485559,4.txt,2.789272875
6.txt,-4.44413959,6.txt,-4.44413959,6.txt,-2.381796196,6.txt,-1.724404122,6.txt,-1.711500718,6.txt,-1.711500718,6.txt,-1.711500718,6.txt,-1.557350038,6.txt,-1.510830022,6.txt,-0.971833521
7.txt,-1.704280822,7.txt,-1.704280822,7.txt,0.751847232,7.txt,1.803281394,7.txt,1.816184799,7.txt,1.816184799,7.txt,1.816184799,7.txt,2.067499227,7.txt,2.114019243,7.txt,2.385952958
9.txt,-4.169315397,9.txt,-4.169315397,9.txt,-2.371705477,9.txt,-1.200745468,9.txt,-1.129001563,9.txt,-1.129001563,9.txt,-1.129001563,9.txt,-0.792529326,9.txt,-0.579436111,9.txt,-0.684796626
10.txt,-7.575047934,10.txt,-7.575047934,10.txt,-6.420632164,10.txt,-6.006586349,10.txt,-5.993682944,10.txt,-5.993682944,10.txt,-5.993682944,10.txt,-5.839532264,10.txt,-5.793012249,10.txt,-5.282186625
12.txt,-1.389822736,12.txt,-1.389822736,12.txt,0.570894176,12.txt,0.720504126,12.txt,0.234902392,12.txt,0.080751712,12.txt,0.080751712,12.txt,-0.344916104,12.txt,-0.298396088,12.txt,0.01175884
15.txt,-1.276323828,15.txt,-1.276323828,15.txt,0.577963621,15.txt,1.940221384,15.txt,2.001914953,15.txt,2.001914953,15.txt,2.001914953,15.txt,2.156065633,15.txt,2.356736329,15.txt,2.985344988
18.txt,-3.811366023,18.txt,-3.811366023,18.txt,-2.433806701,18.txt,-1.809039855,18.txt,-1.79613645,18.txt,-1.79613645,18.txt,-1.79613645,18.txt,-1.641985771,18.txt,-1.595465755,18.txt,-1.00767909
22.txt,-8.344903869,22.txt,-8.344903869,22.txt,-6.566814674,22.txt,-6.047408344,22.txt,-6.034504939,22.txt,-6.034504939,22.txt,-6.034504939,22.txt,-5.880354259,22.txt,-5.833834243,22.txt,-5.32300862
24.txt,-4.96893476,24.txt,-4.96893476,24.txt,-3.556418564,24.txt,-2.842268156,24.txt,-2.829364752,24.txt,-2.829364752,24.txt,-2.829364752,24.txt,-2.675214072,24.txt,-2.628694056,24.txt,-2.52333354
25.txt,0.243455398,25.txt,0.243455398,25.txt,1.487055211,25.txt,0.684809967,25.txt,0.681965015,25.txt,0.276499907,25.txt,-0.234325717,25.txt,-0.75757386,25.txt,-0.636945873,25.txt,-0.359314136
27.txt,-1.716780414,27.txt,-1.716780414,27.txt,0.135653467,27.txt,1.259252498,27.txt,1.123120324,27.txt,1.123120324,27.txt,0.940798767,27.txt,1.277271003,27.txt,1.323791019,27.txt,1.834616643
29.txt,-7.618475094,29.txt,-7.618475094,29.txt,-5.992446297,29.txt,-5.420833118,29.txt,-5.861768406,29.txt,-5.861768406,29.txt,-5.861768406,29.txt,-5.861768406,29.txt,-6.102930463,29.txt,-5.592104839
30.txt,-0.130448068,30.txt,-0.130448068,30.txt,2.047806885,30.txt,2.81643736,30.txt,2.749298057,30.txt,2.680305186,30.txt,2.680305186,30.txt,2.862626743,30.txt,2.909146758,30.txt,2.652717229
33.txt,-9.985365727,33.txt,-9.985365727,33.txt,-8.830949957,33.txt,-8.416904142,33.txt,-8.404000737,33.txt,-8.404000737,33.txt,-8.404000737,33.txt,-8.249850057,33.txt,-8.203330042,33.txt,-7.692504418
34.txt,-0.940269124,34.txt,-0.940269124,34.txt,1.242429883,34.txt,1.955755513,34.txt,1.968658918,34.txt,1.125619451,34.txt,0.314689235,34.txt,0.468839914,34.txt,-0.026237352,34.txt,0.10729404
35.txt,-10.57315239,35.txt,-10.57315239,35.txt,-9.187624901,35.txt,-8.534687178,35.txt,-8.521783773,35.txt,-8.521783773,35.txt,-8.521783773,35.txt,-8.367633093,35.txt,-8.321113077,35.txt,-7.810287454
39.txt,-9.466571934,39.txt,-9.466571934,39.txt,-8.18172201,39.txt,-7.467571603,39.txt,-7.454668198,39.txt,-7.454668198,39.txt,-7.454668198,39.txt,-7.166986126,39.txt,-7.12046611,39.txt,-6.832784037
40.txt,-7.108004551,40.txt,-7.108004551,40.txt,-5.763299055,40.txt,-5.057116817,40.txt,-5.044213412,40.txt,-5.044213412,40.txt,-5.044213412,40.txt,-4.890062732,40.txt,-4.843542717,40.txt,-4.332717093
42.txt,0.377492665,42.txt,0.377492665,42.txt,0.997736363,42.txt,1.671311319,42.txt,1.330384732,42.txt,1.330384732,42.txt,1.04270266,42.txt,0.819559108,42.txt,-0.490959921,42.txt,0.032288222
44.txt,-5.798052159,44.txt,-5.798052159,44.txt,-5.049101497,44.txt,-4.635055682,44.txt,-4.622152277,44.txt,-4.622152277,44.txt,-4.622152277,44.txt,-4.468001597,44.txt,-4.421481581,44.txt,-3.916521077
45.txt,3.799411992,45.txt,3.799411992,45.txt,5.239735476,45.txt,6.269367105,45.txt,6.326525519,45.txt,6.326525519,45.txt,6.326525519,45.txt,6.54966907,45.txt,6.674832213,45.txt,6.882471578
