6.txt,-14.13250111,6.txt,-11.14716538,6.txt,-9.796131333,6.txt,-9.191849098,6.txt,-8.912135196,6.txt,-7.735750348,6.txt,-5.721075925,6.txt,-3.203127468,6.txt,-2.238046572
8.txt,-0.730065609,8.txt,-0.857190022,8.txt,-0.307516738,8.txt,-0.080300137,8.txt,-0.904537079,8.txt,0.525432346,8.txt,1.785746904,8.txt,3.782300786,8.txt,3.171458345
9.txt,-3.315508414,9.txt,-1.992330249,9.txt,-1.269316797,9.txt,-1.678484658,9.txt,-0.946197569,9.txt,-0.271489858,9.txt,0.268777291,9.txt,1.295551756,9.txt,1.763359995
12.txt,-3.431057606,12.txt,-3.644385466,12.txt,-2.835429584,12.txt,-2.344476035,12.txt,-1.965328235,12.txt,-0.529432192,12.txt,0.571621728,12.txt,2.075699125,12.txt,1.978535376
13.txt,5.985921856,13.txt,2.170599726,13.txt,2.401528607,13.txt,2.419966473,13.txt,2.960044985,13.txt,3.343848755,13.txt,3.377663695,13.txt,4.523666568,13.txt,4.807401548
17.txt,0.171619326,17.txt,-0.18744144,17.txt,0.165634199,17.txt,-3.336163632,17.txt,-3.020577314,17.txt,-2.255242371,17.txt,-1.970983787,17.txt,0.100677568,17.txt,1.589235205
18.txt,20.39388161,18.txt,16.30651412,18.txt,12.67850756,18.txt,10.36163637,18.txt,9.71484725,18.txt,7.697657854,18.txt,6.047125572,18.txt,5.215779646,18.txt,5.42567797
19.txt,9.794415562,19.txt,9.428259689,19.txt,8.8735507,19.txt,7.156267921,19.txt,6.685243766,19.txt,7.608903416,19.txt,6.279538871,19.txt,7.414518804,19.txt,5.686521157
2.txt,-11.99421907,2.txt,-8.872979764,2.txt,-8.331876431,2.txt,-7.383341772,2.txt,-5.848594752,2.txt,-3.60996526,2.txt,-1.554468842,2.txt,1.243193517,2.txt,1.255616037
21.txt,14.41870148,21.txt,12.26919834,21.txt,6.288940052,21.txt,5.676442421,21.txt,2.91592628,21.txt,1.637837387,21.txt,2.353057343,21.txt,3.079417814,21.txt,2.114336918
22.txt,10.9430189,22.txt,10.28890055,22.txt,7.253099988,22.txt,4.95438605,22.txt,4.438820764,22.txt,4.979576915,22.txt,3.679065833,22.txt,4.400612488,22.txt,3.147038001
