women,certain,schools,employees,contraceptive,provide,objections,held,cite,provision,liberty,midterms,n't,typically,republican-leaning,younger,galvanizing,competitive,races,defect,
legal,ago,broadly,best,them,issue,accommodation,non-profits,hospitals,small,armor,crack,another,some,coverage,rebuke,senate,for,early,embarrassments,
also,hagan,first,amendment,scotus,birth,plans,mandatory,co-payments,co-payment,pay,often,she,get,doctor,whether,decisions,individual,which,order,
the,that,obama,obamacare,court,supreme,contraception,law,religious,control,health,their,insurance,victory,president,employers,offer,not,political,requirement,
scotus,barack,health,expediency,millions,surely,preventive,human,u.s,department,said,what,coalition,afternoon,rose,unannounced,immigration,executive,entirely,case,
