rehab,five,said,ball,him,most,think,swinging,settled,inning,finished,verlander,four,the,good,
now,from,start,impressed,really,perez,his,
outing,out,well,few,but,striking,coach,another,verlander,breaking,what,stood,fastball,the,brad,
his,the,pitches,finish,days,about,breaking,what,break,fastball,brad,
all,more,jeff,jones,pitching,get,break,good,team,ausmus,
