iii,satellites,launches,when,system,positioning,global,additional,off,kick,said,would,bidding,month,compete,plans,early,operate,will,military,
opportunities,built,competition,expects,use,rockets,the,
the,united,ula,alliance,boeing,joint,monopoly,its,gps,force,martin,creation,next,provider,certified,only,one,high-profile,held,rocket,
launches,martin,known,held,ula,alliance,such,falcon,ending,execute,boeing,using,mission,government,venture,head-to-head,first,elon,entrepreneur,lockheed,
launch,the,military,venture,compete,joint,launches,each,has,martin,space,directly,now,corp,open,which,six-year,consortium,united,monopoly,
