
the,air,force,important,james,secretary,defense,department,very,deborah,this,pentagon,milestone,news,said,statement,provider,our,
launch,military,spacex,resiliency,improve,the,drive,help,down,would,that,ultimately,will,added,competition,noting,press,alternate,cost,vehicle,
the,launch,almost,first,time,services,commercial,viable,compete,opportunity,emergence,provider,spacex,decade,statement,force,secretary,james,deborah,u.s,
fiscal,seven,another,missions,funded,two,opportunities,certification,allow,same,hearing,compete,lee,launch,would,that,force,the,deborah,
