the,kevin,spacey,men,drama,who,newsroom,cranston,jon,hamm,cards,house,jeff,daniels,winner,actor,four-time,honours,will,best,

are,winner,julia,roberts,oscar,past,chiwetel,matthew,nominee,ejiofor,academy,projects,both,this,year,mcconaughey,bob,billy,thornton,jane,
returning,not,they,plan,close-ended,its,stars,indicated,story,series,starred,although,had,category,drama,true,was,
harrelson,mcconaughey,the,true,woody,film,stars,best,rural,louisiana,crime,sadistic,television,thriving,spree,biggest,industry,which,follows,some,
