kong,checkpoint,deportation,youth,activism,auditorium,attend,massacre,petaling,eve,malaysia,state,tuesday,
joshua,hong,international,penang,movement,university,disappointed,can,wong,that,new,tonight,year-old,malaysia,passing,
was,social,titled,forum,student,anniversary,ipoh,been,have,entry,facebook,dispute,
the,airport,after,tuesday,yesterday,uprising,tiananmen,johor,june,jaya,forums,down,touching,international,bayan,lepas,malaysia,penang,northwestern,prevented,
the,activist,occupy,malaya,progressive,security,wong,singapore,today,arrival,square,penang,was,
