mining,wednesday,may,zijin,hong,sovereignty,say,mindful,governments,commerce,ideas,hostility,motive,perception,assets,purchase,fund,capital,copper,robertson,
the,other,countries,not,leftist,hong,above,else,good,relations,they,because,just,value,principle,exceptions,foreign,know,change,basic,
group,hkdol,malaysia,country,dealing,affairs,template,incident,profound,implications,indirectly,political,its,influence,this,trade,safeguard,hypocritical,found,would,
china,kong,harm,suppress,friendly,nations,forcing,such,history,being,export,investors,company,reports,shares,post,zijin,square,tiananmen,crackdown,
might,have,people,that,make,beijing,direct,intervention,there,what,whether,other,countries,hand,all,had,thinking,not,has,speculation,
