thing,are,but,anytime,outfield,moving,home,game-tying,bryant,was,one,chicago,
cubs,single,inning,washington,tuesday,nationals,the,andrew,demonstrating,walk-off,everyone,out,javier,n_t,baez,night,ninth,surging,double,rbi,
recent,hours,one-run,sale,vehicles,seligman,just,had,prospect,rogers,eighth,washington,nationals,kris,run,bryant,seeing,where,jesse,
ago,erased,keep,walk-off,when,maddon,nationals,the,ball,chicago,look,
the,chicago,cubs,addison,russell,mammoth,rookie,win,other,saved,lead,dramatic,their,flair,lifts,when,comes,joe,manager,remind,
