not,too,far,his,return,timetable,left,off,would,strained,hamstring,chris,denorfia,put,maddon,
maddon,you,joe,did,ball,well,play,can,believe,the,board,manager,put,
age,his,implores,n_t,more,gain,better,experience,get,young,squad,comes,one,win,
addison,cubs,manager,joe,rookie,russell,when,thing,everyone,remind,chicago,wants,the,was,thought,
very,happy,tonight,here,both,sides,leave,being,going,able,know,joe,
