age,did,very,happy,here,well,both,being,going,able,implores,n_t,remind,addison,his,
not,maddon,too,far,return,timetable,left,off,would,strained,hamstring,chris,denorfia,his,put,joe,
his,tonight,sides,leave,play,know,more,better,experience,get,young,squad,the,board,was,put,
addison,gain,rookie,russell,when,comes,thing,everyone,wants,win,
joe,manager,you,cubs,ball,can,believe,one,chicago,the,thought,maddon,
