era,the,max,jon,lhp,finale,rhp,scherzer,lester,cubs,three-game,set,free-agent,next,start,mound,will,when,series,wednesday,
the,games,second,just,right,two,pedro,strop,when,one-run,chicago,lead,sixth,east-leading,time,lost,six,hits,many,homer,
the,chicago,cubs,nationals,ninth,russell,addison,tuesday,night,double,rbi,off,inning,washington,walk-off,game-ending,surging,hit,single,field,
the,run,his,cubs,home,kris,bryant,tuesday,washington,nationals,inning,game-tying,eventual,team,eighth,bottom,rookie,hit,recent,was,
make,play,out,hours,other,erased,had,andrew,n_t,that,something,trying,matt,manager,williams,ian,error,pinch-hit,shortstop,desmond,
