joe,manager,not,maddon,his,you,too,far,return,timetable,left,would,put,strained,hamstring,chris,denorfia,everyone,off,can,
the,nationals,cubs,tuesday,kris,washington,chicago,inning,bottom,run,rookie,bryant,ninth,russell,his,eighth,game-tying,addison,home,hit,
the,homer,dexter,first,n_t,leadoff,front,cubs,solo,fielder,right,third,center,single,either,out,are,but,ruling,javier,
the,era,when,max,rhp,jon,finale,scherzer,lhp,lester,three-game,set,free-agent,next,start,mound,will,potential,second,play,
this,season,walk-off,hit,anthony,times,base,has,for,league,jorge,went,major,rookies,leading,center,two-out,tie,two-game,skid,
