new,gmt,medical,sex,headache,got,finds,headline,print,commissioned,abuse,this,share,cancer,centre,that,a-month,pension,payments,legendary,
investigation,released,pacing,article,urged,main,internal,officials,case,affected,long,police,evidence,handling,detailing,report,molestation,figures,that,attorney,
the,state,penn,coach,sandusky,football,was,jerry,paterno,joe,university,june,political,assistant,former,case,monday,october,corbett,sexual,
sandusky,harrisburg,office,claims,ran,purposes,tom,investigate,should,this,story,than,longer,have,may,tried,continue,taken,there,marc,
that,general,assault,theauthorities,many,leading,powerhouse,lung,bellefonte,county,centre,her,molestation,child,steam,investigation,probe,are,results,kathleen,
