make,pleased,quickly,respond,sorry,cover-up,fred,recalls,reported,upton,monday,report,bar,joe,global,again,taken,though,over,than,
executives,whose,fairness,decency,them,treating,happened,responsibility,are,statement,before,top,just,began,job,leader,marks,mullaney,ceo,firing,
has,designing,last,spring,him,gave,initially,twice,committee,recalls,much,failures,michigan,commerce,additional,fatalities,widespread,our,fears,republican,
the,that,mary,barra,company,safety,chief,executive,more,were,our,motors,problems,recall,what,she,officer,program,has,feinberg,
discretion,ignition-switch,vehicle,president,which,high,tim,general,box,continues,month,was,that,executive,chief,
more,their,panel,tells,whose,monday,report,just,weeks,job,week,ethics,eight,motors,families,tone,communications,its,than,month,
compensation,total,discretion,him,initially,fred,interviewed,house,decency,them,treating,happened,responsibility,are,statement,took,every,reaction,greater,vehicle,
designing,deeply,cover-up,culture,attack,withering,much,which,congress,members,victims,with,failing,more,old,maker,were,when,the,been,
the,that,mary,barra,safety,company,chief,executive,our,she,feinberg,problems,recall,what,program,has,u.s,recalls,general,motors,
has,nothing,because,believe,respond,sorry,twice,committee,chairman,reported,failures,michigan,fatalities,widespread,fears,house,energy,compassion,dillon,less,
