general,because,female,becoming,committee,fred,recalls,reported,commerce,additional,widespread,our,fears,house,report,took,week,dillon,vehicle,processes,
make,was,when,help,pleased,compensation,discretion,last,spring,quickly,respond,failure,deeply,panel,tells,behavior,culture,attack,bar,joe,
designing,total,takes,cover-up,monday,weeks,job,leader,again,n-t,firing,employees,continues,part,though,over,problems,that,
ignition,that,what,officer,switch,completed,customers,nothing,most,comprehensive,review,fairness,decency,compassion,treating,responsibility,statement,ignition-switch,just,who,
the,mary,safety,barra,chief,company,that,executive,has,feinberg,were,she,our,more,program,u.s,motors,automaker,problems,focused,
than,recall,were,barra,initially,twice,fred,recalls,much,failures,whose,interviewed,michigan,additional,fatalities,monday,widespread,house,energy,report,
she,executive,completed,most,review,believe,latest,takes,failure,deeply,sorry,panel,tells,cover-up,hearing,u.s,senate,withering,recalls,fairness,
quickly,criminal,where,u.s,house,them,are,statement,independent.ie,which,tim,marketwatch,general,million,n-t,were,officer,chief,
safety,their,help,spring,lead,female,compassion,vice,jeff,promoting,integrated,elevated,function,eight,brian,marks,barclays,company,automaker,over,
the,that,mary,company,has,barra,chief,feinberg,our,safety,executive,motors,what,she,program,compensation,general,firing,families,more,
