1.txt,-14.39918387,1.txt,-13.11249349,1.txt,-11.35240678,1.txt,-11.70210477,1.txt,-12.50783186,1.txt,-12.28154396,1.txt,-10.98379361,1.txt,-10.28526385,1.txt,-10.25377508
4.txt,-11.86090708,4.txt,-14.03317682,4.txt,-11.93963876,4.txt,-10.5354359,4.txt,-11.07676663,4.txt,-13.14185286,4.txt,-11.77634374,4.txt,-10.80594983,4.txt,-11.34770097
9.txt,-21.56521894,9.txt,-20.23847884,9.txt,-17.34984535,9.txt,-16.68585399,9.txt,-16.4101867,9.txt,-17.05352179,9.txt,-15.23744553,9.txt,-14.62874017,9.txt,-13.84154308
10.txt,-39.34506255,10.txt,-33.82913664,10.txt,-31.64715861,10.txt,-30.20579284,10.txt,-31.11686173,10.txt,-29.55778749,10.txt,-26.32429961,10.txt,-23.10197569,10.txt,-18.61393382
11.txt,-20.82674894,11.txt,-20.88104191,11.txt,-17.89725535,11.txt,-19.33837125,11.txt,-19.03129831,11.txt,-19.03527479,11.txt,-17.45540051,11.txt,-14.39930522,11.txt,-10.79946953
13.txt,-15.0727478,13.txt,-13.53310119,13.txt,-13.76345966,13.txt,-13.19845074,13.txt,-16.4772534,13.txt,-16.8298535,13.txt,-17.42816179,13.txt,-17.18862044,13.txt,-14.91286502
15.txt,15.59767484,15.txt,13.03989954,15.txt,6.642096254,15.txt,2.578180224,15.txt,-0.939571012,15.txt,-1.529558607,15.txt,-0.719058104,15.txt,-0.052291993,15.txt,0.059691196
16.txt,11.76595295,16.txt,11.71786821,16.txt,12.13850038,16.txt,11.31576514,16.txt,7.093961516,16.txt,5.123988293,16.txt,3.809623639,16.txt,2.70029411,16.txt,2.183185503
17.txt,-13.46691843,17.txt,-11.92565389,17.txt,-10.66229654,17.txt,-10.6379663,17.txt,-12.49018057,17.txt,-12.65330997,17.txt,-11.25257014,17.txt,-10.24866848,17.txt,-6.669503679
19.txt,0.481381428,19.txt,1.818686096,19.txt,-0.2504873,19.txt,1.21049506,19.txt,-2.287774428,19.txt,-2.033962918,19.txt,-3.354531462,19.txt,-2.505350033,19.txt,-1.474120668
20.txt,-26.11970955,20.txt,-21.56843599,20.txt,-19.93471102,20.txt,-18.12242259,20.txt,-19.74125162,20.txt,-19.50727457,20.txt,-17.23549615,20.txt,-15.99708872,20.txt,-14.08947728
21.txt,-23.49430994,21.txt,-21.73862772,21.txt,-18.96268134,21.txt,-17.93582649,21.txt,-18.68321959,21.txt,-19.22029138,21.txt,-16.63034531,21.txt,-14.60717491,21.txt,-11.94366575
26.txt,12.331946,26.txt,8.471627225,26.txt,7.66685059,26.txt,4.060404976,26.txt,0.514499204,26.txt,0.112415279,26.txt,0.945049926,26.txt,0.629499058,26.txt,2.826535912
27.txt,-20.74624876,27.txt,-19.00911979,27.txt,-16.88003608,27.txt,-15.19093959,27.txt,-17.36751031,27.txt,-16.33374101,27.txt,-14.67417777,27.txt,-11.80959754,27.txt,-11.63860148
30.txt,-15.20650563,30.txt,-10.65226803,30.txt,-10.13938923,30.txt,-8.780187654,30.txt,-10.56808318,30.txt,-10.64094593,30.txt,-9.065819673,30.txt,-6.541299836,30.txt,-4.582487381
31.txt,-1.759793557,31.txt,-1.473165768,31.txt,-0.563163038,31.txt,-1.721198629,31.txt,-2.556137514,31.txt,-2.266483038,31.txt,-0.542653828,31.txt,-1.02332587,31.txt,-1.761509025
