who,had,plans,when,that,durant,what,minutes,the,here,evolved,point,league,afterwards,show,silver-and-black,drop,tempted,quits,call,
the,spurs,san,nba,season,duncan,n't,antonio,back,all,finals,their,game,tim,last,one,been,five,championships,his,
the,david,championship,popovich,robinson,has,titles,gregg,who,duncan,his,there,center,black,confetti,first,coach,was,spurs,t-shirt,
time,they,that,place,changed,night,former,would,what,together,magical,before,over,were,father,keeps,walk,special,greatest,history,
the,duncan,great,n't,years,game,was,bigs,this,meant,powerful,whose,beat,boston,observation,mutual,respect,shared,moment,around,
