the,duncan,spurs,nba,tim,trophy,n't,was,san,again,championships,team,would,ginobili,seasons,title,sunday,night,role,forward,
larry,four,wrapped,legs,o'brien,post,fifth,tony,manu,pass,shoot,gregg,coach,who,participated,popovich,year,antonio,abc,are,
out,that,time,david,genuine,three,obviously,successor,pick,joking,buford,arms,years,come,tony,been,has,conference,his,finals,
tugging,something,teammates,people,amazing,parker,non-champion,famers,hall,things,anything,tony,manu,our,who,especially,was,all,duncan,durant,
san,five,today,usa,sports,soobum,avery,johnson,sean,elliott,past,members,center,at&t,robinson,each,other,david,phillip,rafters,
