telangana,week,sizzling,maximum,searing,across,isolated,places,wednesday,evening,early,tuesday,met,weatherman,one,were,past,well,first,name,
new,hyderabad,weekend,delhi,while,celsius,officials,thunderstorms,forecast,light,thing,pti,updated,may,rainfall,imd,capital,little,aid,who,
express,neighboring,are,victims,say,alone,disaster,officials,toll,with,predictions,bar,news,service,file,wave,extreme,have,another,droves,
the,heat,people,wave,andhra,pradesh,hit,tuesday,last,lives,temperatures,south,degrees,which,borders,work,continue,those,elderly,most,
onset,expected,june,rainfall,people,that,
