borders,related,sun,increased,mild,severe,toll,india,droves,andhra,pradesh,particularly,
families,packages,water,drink,hat,outside,other,government,management,commissioner,people,
heat,may,the,weatherman,predictions,one,were,past,well,thing,bar,last,first,photo,hyderabad,indian,name,file,imd,announcements,
wave,express,alone,has,neighboring,alarmingly,number,when,forecast,pti,news,updated,new,rainfall,service,deaths,prakasam,district,sweeping,claiming,
the,pradesh,people,telangana,week,have,last,state,celsius,degrees,temperatures,worst-hit,hit,south,has,that,heatwave,weekend,which,southern,
