india,has,temperatures,more,that,roads,people,heatwave,melt,degrees,than,jazeera,minutes,ago,capital,have,several,lines,forecast,swept,
overloaded,largest,third,few,top,where,states,warnings,issued,power,were,southern,weeks,scorching,relentless,mumbai,next,continue,warning,tuesday,
new,heat,capital,have,delhi,days,air,overtime,energy-guzzling,conditioners,work,power,cuts,fears,prompting,sweltering,large,the,poorly,meet,
transmission,maintained,grids,asia,economy,rising,demand,rapidly,
the,heat,last,hyderabad,may,state,pradesh,week,where,predictions,were,past,well,thing,pti,bar,news,first,service,updated,
