she,mother,her,work,n_t,rodriguez,caught,desire,strength,both,social,media,picture,shared,many,friends,grateful,disciplinary,unremarkable,states,
corps,iraq,marine,bail,judge,combat,coming,conference,federal,legal,miles,dol,good,terrorism,service,conduct,global,war,campaign,for,
the,his,shooting,rodriguez,pomona,march,had,that,salome,angeles,los,lapd,him,after,department,shot,downtown,california,bar,investigators,
the,was,solis,office,border,state,authorities,juarez,paso,officer,chihuahua,mexican,over,ciudad,texas,arrest,attorney,mexico,officials,agents,
the,his,son,solis,paso,mexico,fbi,father,that,march,surveillance,bus,later,authorities,him,victor,off,dropped,walking,left,
