mexico,arrested,officer,killing,murder,police,angeles,los,fugitive,was,wanted,the,fight,charged,former,tuesday,city,officials,ex-lapd,may,
his,officer,after,solis,chief,face,himself,turn,swift,fire,dishonored,beck,department,a.m,attorney,edt,this,photo,office,juarez,
allegedly,officer,man,lapd,held,murdered,former,help,texas,his,funeral,him,father,thursday,caption,who,fugitive,son,fbi,mexico,
the,shooting,pomona,officer,death,arrest,off-duty,solis,lapd,caption,probationary,officials,disciplinary,issues,history,consequences,family,should,country,decision,
him,dispute,then,chased,bar,some,kind,became,iraq,combat,tour,involved,served,before,allege,nine,months,had,marine,that,
