she,mother,rodriguez,arrest,her,dol,corps,desire,strength,both,picture,many,bail,last,mezquital,official,neighborhood,hidden,news,questions,
the,was,office,solis,mexico,state,border,juarez,mexican,authorities,over,ciudad,texas,paso,officer,attorney,chihuahua,general,security,statement,
the,shooting,pomona,rodriguez,angeles,los,that,salome,march,him,police,iraq,shot,downtown,after,had,department,bar,suspect,marine,
his,the,son,solis,paso,fbi,mexico,that,march,father,authorities,federal,surveillance,bus,later,him,victor,off,dropped,border,
the,officials,his,lapd,did,work,capture,n_t,see,charlie,chief,training,day,officer,social,media,shared,friends,disciplinary,issues,
