both,media,picture,mexico,her,rodriguez,mother,state,arrest,fbi,border,ciudad,tuesday,
the,was,who,many,will,intelligence,work,authorities,juarez,
probably,meet,immigration,mexican,office,authorities,texas,the,tuesday,
solis,officials,social,u.s,shared,son,friends,she,grateful,information,exchange,paso,over,
agents,turned,coordination,prosecutor,fbi,marshals,over,border,just,
