rodriguez,march,the,authorities,before,shot,downtown,that,bar,been,had,became,tour,nine,months,marine,morning,early,hours,killed,
him,the,investigation,dispute,then,chased,some,kind,iraq,combat,involved,served,allege,terminated,shot,lapd,men,that,bar,who,
shooting,officer,lapd,angeles,los,death,off-duty,the,arrest,pomona,department,police,was,salome,issued,place,took,murder,that,who,
fbi,father,help,texas,lapd,the,allegedly,thursday,released,his,agent,affidavit,rookie,caption,year-old,shot,man,fight,who,death,
the,his,killing,him,last,police,dangerous,armed,suspect,describing,solis,formally,missing,information,car,photo,interest,fliers,circulating,person,
