the,solis,mexico,paso,was,victor,state,office,ciudad,juarez,border,his,chihuahua,henry,son,walking,migration,security,may,surveillance,
over,disposition,border,mexican,surveillance,bar,
cnn,appropriate,border,camera,march,where,suspected,former,bar,general,henry,ex-cop,
office,california,fight,shooting,solis,chihuahua,the,general,handed,rode,devonshire,division,pomona,who,died,death,been,now-former,disappeared,texas,
city,conversation,officer,the,fugitive,authorities,over,handed,a.m,arrested,killing,faqs,photo,juarez,guidelines,ex-lapd,read,please,commenting,more,
