may,conversation,security,was,corps,iraq,marine,the,issues,history,a.m,provided,edt,killing,this,photo,guidelines,ex-lapd,read,commenting,
the,his,pomona,that,rodriguez,march,salome,had,angeles,authorities,him,after,shooting,shot,downtown,department,police,los,miles,information,
the,was,solis,office,state,border,juarez,officer,chihuahua,over,texas,paso,attorney,statement,general,mexico,officials,mexican,authorities,ciudad,
the,his,son,solis,paso,fbi,mexico,father,that,march,federal,surveillance,bus,later,authorities,him,victor,day,off,dropped,
she,mother,rodriguez,her,work,news,officials,was,few,days,lapd,training,arrest,the,caught,desire,strength,both,social,media,
