takata,the,inflators,investigating,automakers,consortium,leading,seven,six,same,now,charged,administrator,acting,years,five,four,again,this,discussion,
massive,major,speed,oversight,assert,effort,unprecedented,would,last,
safety,was,the,tripling,nearly,injuries,least,deaths,are,that,ignition,defects,million,delayed,recent,months,has,said,legislation,transportation,
dol,month,new,budget,that,million,auto,would,overseeing,appropriations,house,earlier,defect,investigations,any,funding,n_t,did,more,than,
the,recall,upton,auto,what,time,hearing,when,can,they,wrong,and,how,fix,went,drivers,explain,manufacturers,past,status,
