fredi,the,that,manager,trade,after,was,been,had,scratched,gonzalez,callaspo,game,because,pending,callapso,not,potential,deal,first,
the,inning,adrian,getty,images,harry,base,justin,turner,dodgers,six,three,pitcher,night,watches,with,intentionally,runs,tuesday,atlanta,
freeman,a-gon,career,lineup,league,hit,entire,particularly,rough,tough,major,drills,day,struggled,recording,records,gets,chase,a.j,atl@lad,
the,rbi,gonzalez,run,fifth,teheran,two-run,homer,home,his,inning,game,double,ellis,career,reach,left,active,angeles,dodgers,
his,los,two,him,four,room,two-run,get,hurt,n_t,did,this,milestone,represents,consistent,production,pride,took,admitted,target,
