out,him,howie,strikeouts,pedro,ciriaco,none,walked,struck,cruise,bowman,used,right-center,again,strikeout,ground,getting,andrelton,simmons,overmatching,
the,rbi,single,inning,six-run,ethier,a.j,ellis,doubles,nick,productive,three,runs,support,plenty,after,one,first,angeles,dodgers,
the,inning,kershaw,night,clayton,atlanta,game,dodger,stadium,tuesday,dodgers,third,mark,plate,first,press,associated,out,base,getty,
the,his,braves,innings,scoreless,seven,season,was,fourth,two,start,offense,continued,four,more,has,who,kershaw,n_t,impressive,
dol,had,run,then,the,kershaw,comments,bar,steve,bourbon,lines,unscathed,get,being,able,julio,starter,me.â,its,revival,
