fredi,after,was,had,that,manager,been,scratched,the,game,trade,pitch,because,pending,callapso,room,not,gonzalez,potential,deal,
the,gonzalez,inning,adrian,home,two-run,run,dodgers,harry,baseman,fifth,atlanta,fourth,first,freeman,julio,pitcher,night,watches,getty,
him,n_t,did,get,hurt,the,this,milestone,represents,took,admitted,somewhat,one.â,acknowledged,there,never,could,tell,official,called,
the,inning,six,three,base,with,justin,turner,intentionally,runs,braves,dodgers,that,doubles,using,big,piling,rally,strategy,backfires,
the,rbi,homer,his,career,double,ellis,ethier,fifth,left,teheran,active,two-run,angeles,los,two,game,atl@lad,reach,run,
