dodgers,juan,the,braves,uribe,eric,exchange,jaime,ian,thomas,stults,callaspo,right-hander,will,send,trade,back,hours,expected,chris,
dol,one,million,games,this,team,home,run,year,reportedly,extra-base,three,for,here,winter,going,braves,uribe,hit,before,
the,his,free,because,trade,braves,season,last,signed,teammates,reporters,agent,june,tuesday,liked,right,not,just,after,finish,
the,his,been,even,base,getting,career,times,out,rarely,better,has,adept,strikes,bench,option,because,more,role,next,
the,that,braves,was,trade,would,had,deal,scratched,baseman,first,minutes,been,pitch,him,game,approval,which,sent,callaspo,
