stay,dol,his,popular,unscathed,able,results,yearâ,now,constant,young,mvp-cy,last,comparisons,had,run,summer,how,taken,care,
rbi,single,ethier,a.j,ellis,doubles,first,two-run,dodgers,steve,used,right-center,cap,guess,strikeout,across,frame,later,make,himself,
out,him,ground,second,strikeouts,jonny,gomes,ciriaco,none,walked,struck,four,huge,again,another,strikeout,getting,andrelton,simmons,overmatching,
the,kershaw,tuesday,atlanta,inning,game,dodger,stadium,night,clayton,third,dodgers,plate,press,associated,mark,first,pedro,ciriaco,out,
the,braves,inning,dol,his,season,scoreless,was,fourth,los,seven,innings,first,angeles,dodgers,kershaw,fifth,this,start,offense,
