seattle,medical,the,marijuana,city,dispensaries,mayor,dozens,shutter,its,law,planning,murray,washington,state,overhauling,that,will,rules,same,
those,establishments,special,new,pawn,shops,license,taxi,operators,required,akin,plans,marijuana,business,
the,marijuana,said,more,market,conference,who,mayor,hardly,legal,tuesday,murray,news,purposes,people,appropriate,black,these,selling,are,
down,shut,need,n_t,businesses,getting,special,license,those,the,half,that,pure,stuff,some,you,mean,what,facilities,new,
medical,jan,operation,that,were,licensing,priority,proposal,just,gives,dispensaries,law,state,new,marijuana,the,press,now,this,there,
