need,down,shut,n_t,businesses,getting,special,license,those,the,hardly,purposes,people,appropriate,black,pure,stuff,these,some,selling,
that,medical,marijuana,dispensaries,jan,operation,were,licensing,priority,proposal,just,gives,law,state,new,the,are,mcnichols,kuow,illegitimate,
the,rules,same,everyone,plays,ensure,that,conference,marijuana,will,legal,said,murray,more,market,news,who,press,now,year,
seattle,mayor,marijuana,city,the,medical,dispensaries,dozens,shutter,its,law,planning,murray,washington,state,overhauling,says,call,email,customer,
those,establishments,special,new,pawn,shops,license,taxi,operators,required,akin,plans,marijuana,business,
