court,the,there,make,will,just,n_t,sunday,marcel,granollers,playlist,free,pass,out,people,wander,safe,sure,philippe,grand,
that,his,match,which,matter,else,anyone,anywhere,selfie-seeker,french,second-round,today,search,upset,where,who,surface,won,madrid,alejandro,
the,nadal,n_t,crown,much,opponent,opening,round,grand,press,his,really,can,spaniard,believes,record,eventually,ever,breaks,pretty,
the,federer,open,second,his,marcel,roger,round,french,title,action,wednesday,maria,sharapova,will,their,may,this,rafael,other,
the,granollers,has,federer,previous,only,all,their,major,fourth,also,never,been,not,record,nadal,clay,meetings,seems,hardly,
