they,where,were,considerably,things,have,moved,believe,she,federal,nearly,debt-free,political,legitimate,
sanders,leftward,the,years,single-payer,law,barack,terms,with,
care,college,system,two,done,bernie,
obama,program,health,community,something,
new,free,government-guaranteed,barack,fandom,democrats,
