disorder,not,suffering,reeva,gerrie,sound,experts,examiner,february,oscar,witness,usual,believed,may,trial,anxiety,death,any,argues,more,
new,paralympian,who,early,legal,own,team,love,deeply,rio,grasp,with,athletics,tuscany,showdowns,brand,ambassadorships,client,concerts,vast,
act,fired,entered,mistake,murdered,when,gunned,blade,this,screamed,hours,plane,
the,his,steenkamp,girlfriend,was,pistorius,reeva,her,pretoria,that,shot,athlete,home,last,fatally,when,toilet,psychiatric,mental,intruder,
oscar,when,loud,south,pretoria,day,year,killed,pistorius,court,exam,prosecutor,news,picture,evidence,jealous,says,anger,row,down,
