navy,chinese,responsibilities,significant,runway,project,actual,poseidon,aircraft,off,dispatcher,policy,which,paper,incident,formal,protest,tuesday,construction,site,
the,reef,china,lighthouses,islands,nansha,groundbreaking,construction,chigua,two,transport,tuesday,ceremony,mot,huayang,may,ministry,multi-functional,xinhua,also,
the,recent,months,frenetic,work,been,has,that,site,contested,surveillance,military,atoll,cross,plane,when,flew,last,week,u.s,
another,reef,full,island,land,reclamation,rock,they,air,while,turning,fiery,strip,almost,had,completed,satellite,imagery,cross,last,
the,south,naval,sea,spratly,islands,mischief,disputed,china,ongoing,alleged,waters,artificial,reclamation,atoll,u.s,navy,provided,handout,photo,
