five,help,convert,fairfax,age,head,was,repatriate,following,again,home,her,khaled,wife,trying,full,media,his,daughter,world,
one,returns,will,prime,severed,are,could,gave,recognisable,arguably,become,would,man,who,sweetheart,she,tara,married,islam,woman,
two,taken,come,pack,retreated,asked,say,just,this,allow,
sharrouf,daughter,departure,soon,mother,warzone,were,nick,life,australian,terrorist,jihadist,full,his,world,return,the,
the,nettleton,her,children,sharrouf,that,media,their,father,khaled,australian,reports,grandchildren,return,sydney,muslim,family,wednesday,australia,law,
