news,more,facebook,hindi,videos,facebook.com-indiatoday,twitter,indiatoday,today,aajtak.in,challenges,facing,situation,ongoing,efforts,governance,capacity,afghanistan,assist,inputs,
the,bank,china,brazil,brics,russia,billion,south,africa,dol,will,new,development,nations,its,summit,that,first,capital,emerging,
the,its,that,also,countries,was,shanghai,should,common,world,could,prime,violence,financial,organization,another,member,alternative,finance,will,
the,modi,president,prime,minister,narendra,jinping,that,chinese,meeting,also,india,fortaleza,leaders,china,indian,asian,talks,make,not,
india,statement,the,play,saying,may,issues,brics,trade,has,question,very,minister,that,process,neighbourhood,veiled,war-like,sanctuaries,deny,
