development,projects,lending,bar,infrastructure,less,ndb,other,that,new,the,participate,would,african,eventually,able,branch,regional,much,voting,
infrastructure,investment,member,asian,bank,founding,become,official,also,china,position,its,invited,xinhua,agency,which,has,was,jinping,direct,
the,bank,world,brics,imf,new,countries,international,india,will,monetary,fund,have,nations,development,that,other,south,are,developing,
too,their,premise,eve,say,upon,power,agree,one,trillion,estimated,says,ex-asian,policy,research,economic,war,agencies,arguably,scale,
institutions,creation,loans,this,bank,the,host,had,more,where,seeking,deals,competition,thing,emergency,americans,president,build,powers,myth,
