have,global,council,business,meeting,trade,investment,who,financial,expertise,sub-saharan,sachs,gain,goldman,inc,head,colin,coleman,myth,ndb,
president,china,jacob,vladimir,prez,zuma,jinping,modi,putin,dilma,brazil,the,presidents,minister,rousseff,countries,narendra,grouping,africa,stretching,
billion,dol,africa,will,india,russia,the,each,china,contribution,usdol,american,latin,other,argentina,venezuela,ecuador,colombia,chile,counterparts,
the,africa,bank,new,brics,development,summit,will,russia,south,emerging,brazil,regional,nations,india,headquarters,host,also,china,powers,
security,challenges,facing,many,situation,ongoing,efforts,stabilise,countries,stimulus,scaling,back,triggered,last,year,markets,exodus,action,coordinated,seek,
