investment,developing,xinhua,members,beijing,say,would,founding,finance,get,post,initiative,abe,strategic,ministry,media,infrastructure,better,give,affairs,
billion,dol,year,its,trade,last,fund,capital,own,peaceful,modi,equal,contingency,initial,accept,daily,seek,concern,region,growing,
president,jinping,the,modi,international,chinese,meeting,china,narendra,minister,prime,leaders,studies,reuters,first,november,tuesday,apec,jacob,zuma,
the,bank,india,will,brics,that,brazil,south,africa,its,development,russia,world,new,have,china,countries,also,summit,not,
other,american,latin,talks,position,argentina,venezuela,ecuador,colombia,chile,counterparts,closed-door,photo,being,western,side,russia,russian,make,stumbling,
